Event Name,Month,District,Venue / Place,Duration,Category,Special About
Sarhul Festival,March-April,Statewide,Sacred Groves,3 days,Cultural,"Worship of Sal trees. Dance: Paika, Jhumair. Marks tribal New Year."
Sohrai Festival,Oct-Nov,Hazaribagh,Rural Homes,7 days,Cultural,"Cattle worship, wall art (Sohrai painting), community feasts."
Karma Festival,Aug-Sep,Gumla,Village Akhras,3 days,Cultural,"Worship of Karam tree. Youth dance, songs for nature & siblings."
Mage Parab,Jan-Feb,West Singhbhum,Village Grounds,3 days,Cultural,"Harvest celebration. Traditional songs, rice beer, thanksgiving."
Tusu Parab,January,East Singhbhum,Riverbanks,1 day,Cultural,"Folk songs by girls, bamboo idols, regional competition."
Baha Parab,Feb-Mar,Dumka,Forests & Groves,2 days,Cultural,"Flower festival. Community dances, floral offerings, tribal attire."
Fagua (Holi),March,Statewide,Streets & Villages,3 days,Cultural,"Tribal Holi with dhol, natural colors, folk theatre."
Karam Puja,September,Ranchi,Village Centers,1 day,Cultural,"Youth gather, sing/dance around Karam tree for good harvest."
Jitia Puja,Oct,Palamu,Homes & Temples,3 days,Cultural,"Mothers fast for children’s health. Storytelling, ritual food."
Nawakhani,Oct,Godda,Homes,1 day,Cultural,Eating new grain after harvest. Thanksgiving rituals.
Kunda Mela,Feb-Mar,Chatra,Pratappur,10 days,Mela,"Asia’s largest cattle fair. Livestock trading, rural economy hub."
Gola Mela,Sep-Oct,Hazaribagh,Gola,15 days,Mela,"Massive post-monsoon fair. Handicrafts, rides, food, bullock races."
Chatra Mela,October,Chatra,Chatra Town,7 days,Mela,"Since 1882. Cattle + Durga Puja combo. Crafts, tools, food."
Tamar Mela,Dec-Jan,Ranchi,Tamar Block,5 days,Mela,"Winter fair: local produce, handloom, folk theatre, food carnival."
Bundu Mela,Nov-Dec,Ranchi,Bundu,4 days,Mela,"Agricultural focus. Organic farming demos, seed exchange, cattle."
Barhi Mela,Apr-May,Hazaribagh,Barhi,3 days,Mela,"Spring harvest. Pottery, handicrafts, cart races, local cuisine."
Khunti Mela,January,Khunti,Khunti Town,3 days,Mela,"Tribal jewelry, Munda crafts, archery demo, traditional food."
Kanke Mela,November,Ranchi,Kanke,2 days,Mela,"Religious + trade near temple. Toys, utensils, street food."
Torpa Mela,January,Khunti,Torpa,2 days,Mela,"Tribal games, music, dance competitions, youth engagement."
Latehar Mela,December,Latehar,Latehar Town,4 days,Mela,"Bamboo craft, handloom, govt scheme stalls, folk performances."
National Open Athletics Championships,September,Ranchi,Birsa Munda Stadium,4 days,Sports,National track & field. Scouts for Olympics/Asian Games.
Indian Open Athletics Meet,April,Ranchi,Birsa Munda Stadium,1 day,Sports,Domestic elite meet. Qualifier for Nationals.
Jharkhand State Games,November,Jamshedpur,Tata Athletic Stadium,7 days,Sports,"Multi-sport: Hockey, Archery, Kabaddi, Wrestling."
Hockey India Junior Championship,December,Ranchi,Morabadi Astroturf,10 days,Sports,U-21 national tournament. Future Olympians scouted here.
Traditional Archery Championship,January,Dumka,Santhal Grounds,2 days,Sports,Bamboo bow & arrow. Santhal tribes compete. Heritage sport.
Netarhat Hill Run,October,Latehar,Netarhat Plateau,1 day,Sports,"10K/21K trail run. Scenic views, eco-tourism promotion."
Betla Wildlife Marathon,February,Palamu,Betla National Park,1 day,Sports,Jungle trail run. Entry supports wildlife conservation.
Ranchi City Kabaddi League,August,Ranchi,Local Grounds,15 days,Sports,"Franchise-based league. Grassroots talent, evening matches."
University Cricket Fest,March,Ranchi,CMP Degree College,5 days,Sports,Inter-college T20. Sponsored by JSCA.
Women’s Football Tournament,July,Jamshedpur,JRD Tata Complex,7 days,Sports,"Promotes women’s sports. District teams, coaching clinics."
