district,town,name,type,latitude,longitude,description,opening_hours,entry_fee,accessibility,rating
ranchi,ranchi,hundru falls,waterfall,23.4497°,85.6667°,"One of the highest waterfalls in Jharkhand, surrounded by lush forests, ideal for nature lovers.",6:00 AM – 6:00 PM,Free,Limited,4.2
ranchi,ranchi,dassam falls,waterfall,23.1463°,85.4672°,"Scenic waterfall on the Kanchi River, perfect for picnics and photography.",6:00 AM – 6:00 PM,Free,Limited,4.1
ranchi,ranchi,jonha falls (gautamdhara),waterfall,23.3423°,85.6102°,"Popular waterfall amidst rocky terrain, great for trekking and sightseeing.",6:00 AM – 6:00 PM,Free,Limited,4
ranchi,ranchi,panchghagh falls,waterfall,22.9454°,85.2566°,"Series of five cascading falls surrounded by greenery, a serene spot for visitors.",6:00 AM – 6:00 PM,Free,Limited,3.9
ramgarh,ramgarh,sita falls,waterfall,23.34196°,85.6439°,"Picturesque waterfall located in dense forests, ideal for nature enthusiasts.",Not specified,Free,Limited,3.8
west singhbhum,kiriburu,hirni falls,waterfall,22.80766°,85.36451°,"Beautiful waterfall in a scenic hilly region, attracts trekkers and photographers.",Not specified,Free,Limited,3.7
ranchi,ranchi,pahari mandir,temple,23.38485°,85.28773°,"Temple situated on a hill offering panoramic views of the city, popular for spiritual visits.",5:30 AM – 8:30 PM,Free,Limited,4.3
ranchi,ranchi,jagannath temple,temple,23.3173°,85.2810°,"Famous Hindu temple dedicated to Lord Jagannath, visited by devotees year-round.",4:30 AM – 9:00 PM,Free,Limited,4.4
ranchi,ranchi,dewri temple,temple,23.4875°,85.3833°,"Ancient temple with traditional architecture, significant for local worship.",6:00 AM – 8:00 PM,Free,Limited,4
ranchi,ranchi,panchmukhi hanuman mandir,temple,23°19'22",85°17'36","Temple dedicated to Lord Hanuman with five-faced idol, religious and cultural importance.",5:00 AM – 9:00 PM,Free,Limited,3.9
ranchi,ranchi,kanke mahadev temple,temple,23°25'47",85°20'6","Historic temple dedicated to Lord Shiva, set amidst serene surroundings.",5:00 AM – 8:30 PM,Free,Limited,3.8
ranchi,ranchi,bhadrakali temple (itkhori),temple,24°17'55",85°09'45",Ancient temple in Itkhori known for its religious and archaeological significance.,6:00 AM – 8:00 PM,Free,Limited,4.1
ranchi,ranchi,rock garden,park,23°24'16.848",85°18'39.456","Man-made garden with sculptures and landscaped pathways, popular for leisure and photography.",6:00 AM – 8:00 PM,Free,Limited,3.7
ranchi,ranchi,kanke dam,lake/park,23°25'47",85°20'6","Scenic dam surrounded by greenery, ideal for boating and picnics.",Not specified,Free,Limited,3.6
ranchi,ranchi,ranchi lake,lake,23°22'12",85°18'30","Peaceful lake in the city, popular for evening walks and recreational activities.",6:00 AM – 8:00 PM,Free,Good,3.8
ranchi,ranchi,birsa zoological park,park,23°27'30",85°27'26","Well-maintained zoo featuring diverse wildlife species, great for family visits.",5:00 AM – 9:00 PM,Likely has fee (?30-100),Good,4.2
ranchi,ranchi,tagore hill,park,23°27'30",85°27'26","Hilltop park with panoramic views, named after Rabindranath Tagore, perfect for trekking and relaxation.",6:00 AM – 8:00 PM,Free,Limited,4
ranchi,ranchi,nakshatra van,park,23°24'5",85°20'17","A park with open spaces and flora, suitable for walks, picnics, and nature activities.",6:00 AM – 8:00 PM,Free,Good,3.9
ranchi,ranchi,patratu valley,hill station/scenic,23°22'53",85°19'15","Scenic valley with hills and greenery, popular for road trips and photography.",Not specified,Free,Limited,4.1
ranchi,ranchi,budh vihar,temple,23°38'7",85°30'44","Buddhist temple complex with serene ambiance, attracts devotees and tourists.",6:00 AM – 8:00 PM,Free,Limited,3.8
ranchi,ranchi,tribal research institute and museum,museum,23°20'0",85°19'0","Museum showcasing tribal culture, heritage, and artifacts of Jharkhand.",5:30 AM – 9:00 PM,Likely has fee (?10-50),Good,4
ranchi,ranchi,ranchi war cemetery,heritage,23°23'56",85°18'50","Historic war cemetery commemorating soldiers, tranquil and educational site.",6:00 AM – 8:00 PM,Free,Limited,3.7
ranchi,ranchi,birsa smriti park,park,23°21'48",85°20'38","Lush green park dedicated to Birsa Munda, ideal for leisure and recreation.",Not specified,Free,Good,3.8
ranchi,ranchi,tribal culture centre,museum,23.35°,86.18°,"Center promoting tribal heritage, with exhibitions on local art, crafts, and culture.",8:00 AM – 7:00 PM,Likely has fee (?20-60),Good,4.1
ranchi,ranchi,ranchi planetarium,park,23.3708°,85.3253°,"Science park with planetarium shows and educational exhibits, popular among students and tourists.",8:00 AM – 6:00 PM,Likely has fee (?40-100),Good,4.3
ranchi,ranchi,morhabadi maidan,park,23.3958°,85.3278°,"Open ground for public events, fairs, and cultural programs in the heart of the city.",6:00 AM – 7:00 PM,Free,Good,3.6
ranchi,hotwar,state museum,museum,23.3212°,85.3088°,"Museum displaying artifacts, art, and history of Jharkhand, educational and cultural significance.",9:30 AM – 5:30 PM,Likely has fee (?10-50),Good,4
singhbhum east,jamshedpur,jubilee park,park,22.81263°,86.19590°,"Iconic urban park with landscaped gardens, fountains, and recreational areas, popular for family outings.",8:00 AM – 6:00 PM,Free,Good,4.4
singhbhum east,jamshedpur,sir dorabji tata park,park,22.80510°,86.18956°,"Lush green park named after Dorabji Tata, ideal for relaxation and morning walks.",8:00 AM – 7:00 PM,Free,Good,4
singhbhum east,jamshedpur,jayanti sarovar,lake,22.80975°,86.18775°,"Scenic lake in the city, frequented for boating and picnics.",Not specified,Free,Good,3.9
